skip|69-HC-1268||||||
077:27:21|AS13-60-8644|||Pasteur and Hilbert|||
077:27:38|AS13-60-8645|||Pasteur, Backlund,  and Hilbert|||
077:27:55|AS13-60-8646|||Pasteur, Hilbert and Meitner|||
077:29:40|AS13-60-8647|||Mare Moscoviense, Komarov, Nagaoka, Leonov, Konstantinov, Kohlschutter & Van Gent|||
077:30:01|AS13-60-8648|||Mare Moscoviense, Titov, Tereshkova, Shatalov, Belyaev, Komarov, Leonov|||
077:30:24|AS13-60-8649|||Van Gent, Papaleksi, Mandel'shtam, Henderson, Mills and Kohlschutter|||
077:30:40|AS13-60-8650|||Mare Moscoviense, Komarov, Leonov, Van Gent, Tsu Chung-Chi|||
077:31:09|AS13-60-8651|||Mare Moscoviense, Leonov, Van Gent, Papaleksi|||
077:31:34|AS13-60-8652|||Mendeleev, Fischer, St.John, VanGent, Papaleksi, Mandel'shtam|||
077:34:16|AS13-60-8653|||Mare Moscoviense, Komarov, Tereshkova, Kurchatov|||
077:35:36|AS13-60-8654|||Chaplygin, Marconi, Pannekoek, Dellinger, Glazenap|||
077:36:54|AS13-60-8655|||Vetchinkin, Meshcherskiy|||
077:37:16|AS13-60-8656|||Vernadskiy, Florensky, Siedentopf|||
077:38:14|AS13-60-8657|||Tesla, H.G.Wells, Kidinnu, Cantor|||
077:41:47|AS13-60-8658|||Tsiolkovsky, Danjon, D'Arsonval, Shirakatsi, Dobrovol'skiy|||
077:41:56|AS13-60-8659|||Tsiolkovsky, Danjon, D'Arsonval, Shirakatsi, Dobrovol'skiy, Jules Verne|||
077:42:05|AS13-60-8660|||Chaplygin, Marconi, Pannekoek, Dellinger, Glazenap, Keeler|||
077:42:41|AS13-60-8661|||Hoffmiester, Vetchinkin, Green|||
077:43:02|AS13-60-8662|||Mendeleev, Hartmann, Green, Gregory, Catena Gregory|||
077:43:51|AS13-60-8663|||King, Ibn Firnas, Ostwald, Meshcherskiy, Kostinskiy|||
077:43:58|AS13-60-8664|||King, Ibn Firnas, Ostwald, Meshcherskiy, Kostinskiy|||
077:44:04|AS13-60-8665|||King, Ibn Firnas, Ostwald, Meshcherskiy, Kostinskiy, Vivani|||
077:44:26|AS13-60-8666|||Campbell, Weiner, Kurchatov, Bridgman, Becquerel|||
077:44:47|AS13-60-8667|||Mendeleev, Hoffmiester, Tsu Chung-Chi, Leonov|||
077:44:57|AS13-60-8668|||King, Ibn, Firnas, Gregory, Green|||
077:45:12|AS13-60-8669|||High Oblique across Mare Australe|||
079:48:00|AS13-60-8670|||Mare Crisium, Mare Marginis, Joliot, Hubble, Goddard, Al-Biruni|||
079:48:15|AS13-60-8671|||Mare Crisium, Mare Marginis, Mare Smythii, Joliot, Hubble, Goddard, Al-Biruni, Plutarch, Neper|||
079:48:30|AS13-60-8672|||Mare Tranquillitatis, Serenitatis, Prolocus, Taruntius, Goclenius, Picard|||
079:48:45|AS13-60-8673|||Mare Crisium, Mare Tranquillitatis, Mare Serenitatis, Picard, Prolocus, Cleomedes|||
079:49:00|AS13-60-8674|||Mare Humboldtianum, Endymion, Lacus Spie, Atlas, Hercules, Lacus, Somniorum|||
079:49:15|AS13-60-8675|||Joliot, Lomonosov, Compton, Giordano Bruno, Hubble, Mare Marginis|||
079:49:30|AS13-60-8676|||Mare Smythii, Mare Marginis, Goddard, Lomonosov, Neper|||
079:49:40|AS13-60-8677|||Mare Smythii, Mare Marginis, Goddard, Lomonosov, Neper|||
080:37:30|AS13-60-8678|||Langrenus, Mare Fecunditatis, Mare Tranquillitatis, Mare Nectaris, Goclenius|||
080:37:40|AS13-60-8679|||Langrenus, Mare Nectaris, Mare Fecunditatis, Vallis Snellius|||
080:37:50|AS13-60-8680|||Mare Crisium, Mare Tranquillitatis, Mare Serenitatis, Prolocus, Taruntius, Lacus Somniorum|||
080:38:05|AS13-60-8681|||Tsiolkovsky, Sklodowska, Mare Australe|||
